index	score	sentence1	sentence2
1833	4.6	ایک کالا کتا اور ایک سفید کتا گلی میں کھیل رہے ہیں ۔	ایک کالا کتا اور ایک سفید کتا ایک ساتھ گلی میں کھیل رہے ہیں ۔
1834	3.6	ایک بڑا سیاہ اور سفید کتا پانی میں تیر رہا ہے ۔	ایک سیاہ اور سفید کتا چھڑی کے ساتھ کیچڑ کے پانی میں ہے ۔
1835	4.2	ایک چھوٹا لڑکا اپنے سر پر کولینڈر رکھ کر مذاق کر رہا ہے ۔	ایک لڑکا جس کے سر پر دھات کا کولینڈر ہے ۔
1836	0	دو تعمیراتی کارکن ایک بیم پر بیٹھ کر وقفہ لے رہے ہیں ۔	آدمی لفٹ کے قریب اپنی قمیض پہن رہا ہے ۔
1837	1.2	ایک مرد اور ایک عورت ہنستے ہوئے ۔	ایک مرد اور ایک عورت بوسہ لیتے ہیں ۔
1838	2.83	ایک سیاہ بھوری اور سفید کتا میدان میں دوڑ رہا ہے ۔	ایک سفید اور بھورا کتا میدان میں دوڑتا ہے ۔
1839	4.6	بچے سوئمنگ پول میں کھیل رہے ہیں جبکہ دو بالغ آدمی انہیں دیکھ رہے ہیں ۔	بچے تالاب میں کھیلتے ہیں جبکہ بڑے اسے دیکھتے ہیں ۔
1840	0	دو بچے پانی میں چھڑک رہے ہیں ۔	دو کتے بستر پر ایک ساتھ کھیل رہے ہیں ۔
1841	4.6	بھورا اور سفید کتا اتلی پانی میں چل رہا ہے ۔	ایسا لگتا ہے کہ ایک سفید اور بھورا کتا پانی پر چل رہا ہے ۔
1842	1.6	ایک خاتون پبلک ٹرانسپورٹ میں سفر کے دوران پڑھ رہی ہے ۔	ایک آدمی جو پبلک ٹرانسپورٹ پر سو گیا ہے ۔
1843	1.8	ایک بلڈوگ ایک گھاس والے پارک سے گزر رہا ہے جب کہ لوگ پس منظر میں کھڑے ہیں ۔	ایک کتا پانی کے ایک بڑے جسم میں دوڑ رہا ہے جس کی وجہ سے وہ چھڑک رہا ہے ۔
1844	2.2	ایک نوجوان لڑکا اینٹوں کی سڑک پر سائیکل چلا رہا ہے	ایک شخص درختوں سے گھرا ہوا ریمپ پر سائیکل پر چال چلاتا ہے ۔
1845	3.8	نوجوان آدمی ایک اسکیٹ پارک میں اسکیٹ بورڈنگ کر رہا ہے ۔	نیلے رنگ کی ٹی شرٹ میں ایک لڑکا اسکیٹ پارک میں اسکیٹ بورڈ پر ہوا میں اڑ رہا ہے ۔
1846	4.4	پارکنگ گیراج کے قریب فٹ پاتھ پر رسی چھلانگ لگانے والی لڑکی ۔	ایک لڑکی بائیں طرف پارکنگ گیراج کے ساتھ فٹ پاتھ پر رسی کود رہی ہے ۔
1847	3	سورج غروب ہوتے ہی ایک شخص ساحل سمندر پر پانی میں باہر ہے ۔	پانی پر اپنے سرف بورڈ کے اوپر ایک شخص ۔
1848	4	ایک کتا فرسبی کو پکڑنے کے لیے ہوا میں چھلانگ لگاتا ہے ۔	بھورا کتا گلابی فرسبی کے لیے چھلانگ لگاتا ہے ۔
1849	1	کتا کھیل کا کھلونا اپنے مالک کو واپس کر دیتا ہے ۔	تین کتے ایک ساتھ برف میں دوڑتے ہیں ۔
1850	4.6	دو خواتین جھولوں سے چھلانگ لگا دیتی ہیں ۔	دو لڑکیاں جھولوں سے چھلانگ لگا دیتی ہیں ۔
1851	0.6	ایک نوجوان لڑکی کے ساتھ ایک عورت ایک اسٹور کے سامنے ریچھ کے مجسموں کے ساتھ پوز دے رہی ہے ۔	جرسی میں ایک آدمی بڑے ہجوم کے سامنے کھڑا ہے ۔
1852	4.4	بغیر قمیض والا آدمی لان پر فٹ بال کھیل رہا ہے ۔	بغیر قمیض کے ایک آدمی فٹ بال پکڑ رہا ہے ۔
1853	0.8	سبز لباس پہنے ایک لڑکی اپنے ہاتھوں میں کچھ موڑ دیتی ہے ۔	صرف سبز شارٹس پہنے ایک نوجوان لڑکا اینٹوں کے پس منظر کے ساتھ عجیب انداز میں پوز دے رہا ہے ۔
1854	0.4	سرخ جیکٹ میں ایک آدمی تصویر کے لیے اپنی موٹر سائیکل تھامے ہوئے ہے ۔	سرخ جیکٹ میں ایک عورت قدرتی زمین کی تزئین کی ویڈیو ٹیپ کر رہی ہے ۔
1855	0.8	ایک لڑکا غیر بھیڑ والے عوامی تالاب میں چھلانگ لگاتا ہے ۔	سنو بورڈ پر ہوتے ہوئے ایک آدمی چھلانگ لگاتا ہے ۔
1856	0.6	جوکر کیمرے کے لیے پوز دے رہے ہیں ۔	نارنجی رنگ میں ایک بچہ لہروں میں بوگی بورڈ پر ہے ۔
1857	0	چار بچے ہاتھ پکڑ کر سوئمنگ پول میں چھلانگ لگاتے ہیں ۔	چار کتے برف میں کھیل رہے ہیں ۔
1858	2.8	ایک لڑکا دو کدو لے کر ویگن کو دھکا دیتا ہے ۔	ایک بچہ دو کدو کے ساتھ ویگن کے پیچھے بیٹھتا ہے ۔
1859	0	دو فٹ بال کھلاڑی ایک شدید میچ کے دوران گیند کے لیے لڑتے ہیں ۔	دو چھوٹے نارنجی اور سفید کتے برف میں ہیں ۔
1860	3.8	کالا کتا اونچی گھاس سے گزر رہا ہے ۔	کالا کتا گھاس میں تیزی سے دوڑ رہا ہے ۔
1861	3.4	برف میں کھیل رہے دو کالے کتے ۔	ایک کالا کتا برف میں کھدائی کرتا ہے ۔
1862	5	ایک کتا زنجیر پر چھلانگ لگاتا ہے ۔	ایک کتا زنجیر پر چھلانگ لگا رہا ہے ۔
1863	4.6	ایک سیاہ پرس والی لڑکی لکڑی کے بینچ پر بیٹھی ہوئی ہے ۔	کالے پرس والی ایک نوجوان عورت لکڑی کے بینچ پر بیٹھی ہے ۔
1864	2.2	کالا اور پیلا کتا	ایک کالا کتا اور ایک بھورا سفید کتا میدان میں کھیل رہے ہیں ۔
1865	3.4	بال پٹ میں تین بچے ۔	کئی بچے بال پٹ میں کھیل رہے ہیں ۔
1866	3.6	ایک بڑا سفید اور سرمئی کتا رکاوٹ کے راستے میں پیلے رنگ کی سرنگ سے گزرتا ہے ۔	ایک سفید اور سیاہ کتا پیلے اور نارنجی ٹیوب سے باہر نکل رہا ہے ۔
1867	4.8	ایک تیراک سوئمنگ پول میں بیک اسٹروک کر رہا ہے ۔	ایک شخص سوئمنگ پول میں بیک اسٹروک کر رہا ہے ۔
1868	0	ایک آدمی جھیل کے کنارے پتھریلی پگڈنڈی پر موٹر سائیکل پر کھڑا ہے ۔	ایک عورت سفید ہیڈ بینڈ جامنی رنگ کا ٹینک ٹاپ اور سیاہ دستانے پہنے ہوئے ہے ۔
1869	2.4	ایک بھورا کتا سبز گھاس سے گزر رہا ہے ۔	ایک بھورا کتا دریا کے ذریعے دوڑ رہا ہے ۔
1870	3.4	ایک چھوٹا سفید کتا اور بڑا بھورا کتا گھاس پر کھیل رہے ہیں ۔	ایک چھوٹا ہلکا ٹین کتا گھاس میں کھڑے ایک بڑے بھوری کتے کے پاس سے گزر رہا ہے ۔
1871	3.4	ایک عورت کتے کو تھامے ہوئے ہے جبکہ دوسرا کتا قریب ہی کھیت میں کھڑا ہے ۔	ایک خاتون ایک کتے کو تھامے ہوئے ہے جبکہ دوسرا کتا صحن میں کھیل رہا ہے ۔
1872	2.4	ایک کالا کتا پانی سے گزر رہا ہے ۔	دو کالے کتے برف سے گزر رہے ہیں ۔
1873	1.8	ایک کالا کتا برف میں دوڑ رہا ہے ۔	ایک کالا کتا اپنے منہ میں گیند لے کر تیر رہا ہے ۔
1874	1.6	سبز لباس میں ملبوس ایک عورت اپنے ٹین کتے کے ساتھ کھیل رہی ہے ۔	ایک ٹین کتا لیٹتے ہوئے ایک لڑکی کا ہاتھ چاٹتا ہے ۔
1875	4.6	دو بے گھر آدمی گتے کے نشان کے ساتھ باہر کھڑے ہیں ۔	گتے کا نشان تھامے دو بے گھر نوجوان کھڑے ہیں ۔
1876	3.6	ایک بھورا کتا پانی میں چل رہا ہے ۔	ایک کتا گندے پانی میں چھڑکتا ہے ۔
1877	2.8	سفید ہیلمٹ پہنے نارنجی قمیض میں ایک آدمی موٹر سائیکل چلا رہا ہے ۔	نیلے رنگ کا ہیلمٹ پہنے ہوئے آدمی پولارس پر سوار ہے ۔
1878	1.8	ایک چھوٹا لڑکا شادی کی تقریب کے سامنے کھڑا ہنس رہا ہے ۔	بیٹھے ہوئے ہجوم کے سامنے اسٹیج پر کھڑا شخص
1879	3.6	سنوموبائل پر ایک شخص ۔	درمیانی چھلانگ میں سنوموبائل پر سوار ایک شخص ۔
1880	0.8	آدمی ساحل پر کھڑا پیڈل سے گیند مار رہا ہے ۔	دو نوعمر لڑکیاں ساحل کے کنارے آئی پوڈز سن رہی ہیں ۔
1881	0.4	اوپر کی اس تصویر میں دو آدمیوں کو وقفہ لیتے ہوئے دکھایا گیا ہے ۔	تیراکی کی ٹوپی اور چشمے والا شخص سانس لے رہا ہے ۔
1882	4.6	دو بھورے کتے ریت پر ایک ساتھ دوڑ رہے ہیں	دو بھورے کتے ریت پر دوڑ رہے ہیں ۔
1883	1.4	ایک کالا کتا سرخ فریسبی کا پیچھا کر رہا ہے ۔	برف میں ایک کالا پوڈل چل رہا ہے ۔
1884	3	ٹٹو ٹیل والی دو لڑکیاں تفریحی پارک کی سواری کرتی ہیں ۔	ایک نوجوان لڑکی تفریحی پارک میں سواری پر ہے ۔
1885	4.2	ریت میں کھدائی کرنے والا کتا ۔	ایک بھورا کتا ریت میں کھودتا ہے ۔
1886	0	دو آدمی دکانوں کے سامنے فٹ پاتھ پر بیٹھے ہیں ۔	نہانے کے سوٹ میں ایک عورت ساحل سمندر پر کتے کے ساتھ چلتی ہے ۔
1887	4.6	ایک سیاہ اور سفید دھبہ دار کتا ندی پر چھلانگ لگاتا ہے ۔	ایک سیاہ اور سفید دھبہ دار کتا پانی کی چھوٹی ندی پر چھلانگ لگا رہا ہے ۔
1888	3	بی ایم ایکس سائیکل پر سوار ایک شخص ۔	درمیانی ہوا میں موٹر سائیکل پر سوار آدمی
1889	4.6	دو کتے اونچی گھاس سے گزر رہے ہیں ۔	دو کتے گھاس کے علاقے سے گزر رہے ہیں ۔
1890	1	پٹا پہنے ہوئے چھوٹے سفید کتے نے سرخ گیند کے پیچھے چھلانگ لگائی ۔	ایک سیاہ اور سفید کتا برف میں چھڑی واپس کرتا ہے ۔
1891	3.2	کسی عمارت کے باہر کھڑے لوگوں کا ایک گروہ ۔	لوگوں کے ایک بڑے گروہ نے باہر ایک لائن بنا دی ہے ۔
1892	1.6	چار بچوں کا ایک گروپ گھر کے پچھواڑے میں رقص کر رہا ہے ۔	بچوں کا ایک گروپ رنگین چٹائیوں پر اسٹریچ کرتا ہے ۔
1893	4.8	نوعمروں کا ایک گروہ ساحل سمندر پر ہوا میں چھلانگ لگا رہا ہے ۔	نوجوانوں کا ایک گروہ ساحل سمندر پر ہوا میں چھلانگ لگاتا ہے ۔
1894	4.4	ایک لڑکا ہاتھ میں جلتی ہوئی پھلجھڑی لہرا رہا ہے ۔	ایک نوجوان لڑکا ہوا میں ایک چمکدار کو گھوم رہا ہے ۔
1895	2.6	کئی لوگ رات کو آگ کے گرد بیٹھے ہوتے ہیں ۔	لوگوں کا ایک گروہ رات کو زمین پر کھڑا اور بیٹھا ہوا ہے ۔
1896	4	بھورے اور سفید کتوں کی دو مختلف نسلیں ساحل سمندر پر کھیلتی ہیں ۔	دو کتے ساحل پر ریت میں کھیل رہے ہیں ۔
1897	3.4	ویمپائر ملبوسات میں ملبوس ایک مرد اور دو خواتین	ملبوسات میں ملبوس ایک مرد اور دو عورتیں ۔
1898	2.4	کھیل کے میدان میں دو لڑکے ہیں، جن میں سے ایک نے ٹوپی پہنی ہوئی ہے ۔	ٹین ٹوپی میں لڑکا کھیل کے میدان کے سامان کے قریب بیٹھ کر ہنستا ہے ۔
1899	5	دو کتے برف میں کھیل رہے ہیں ۔	دو کتے برف میں کھیل رہے ہیں ۔
1900	0.4	ایک عورت بچے کو تھامے ہوئے ہے، ایک مرد بچے کو دیکھ رہا ہے، جبکہ دوسرا مرد ایک بچے کو گود میں لیے ہوئے یہ منظر دیکھ رہا ہے -	ایک عورت ایک اسٹور میں اپنے بازوؤں کے ساتھ کھڑی ہے جبکہ دوسری عورت کے ہاتھ میں کیمرہ ہے ۔
1901	4.6	ایک سفید پھولا ہوا کتا خالص سفید برف میں دوڑ رہا ہے ۔	برف میں دوڑتا ہوا ایک سفید کتا ۔
1902	0	اخبار تھامے ایک عورت ۔	ایک آدمی دھاتی بار پر رولر بلیڈنگ کر رہا ہے ۔
1903	3.4	پیتل کے آلات بجانے والے مردوں کا ایک گروہ ۔	لڑکوں کا ایک گروہ باہر آلات بجاتا ہے ۔
1904	0	ساحل پر دو لڑکیاں کشتی میں مچھلی پکڑتے ہوئے لوگوں کو دیکھ رہی ہیں ۔	دو مرد - ایک سرخ رنگ میں اور ایک سفید رنگ میں باسکٹ بال کا کھیل کھیل رہے ہیں ۔
1905	4	ایک سنو بورڈر ہوا میں چھلانگ لگاتا ہے ۔	ایک سنو بورڈر ہوا میں اڑتا ہے ۔
1906	0.6	سرخ کانوں والا ایک سفید کتا برف میں دوڑ رہا ہے ۔	سرخ کالر والا گیلے کالے رنگ کا کتا دریا میں ہے
1907	0.4	ایک چھوٹی سی لڑکی اور ایک چھوٹا لڑکا چمکدار سلائیڈ پر ہاتھ تھامے ہوئے ہیں ۔	پیسلی لباس میں ایک چھوٹی سی لڑکی ریتیلے کھیل کے میدان میں دوڑتی ہے ۔
1908	4.2	بچے میدان میں فٹ بال کھیلتے ہیں ۔	تین لڑکے میدان میں فٹ بال کھیل رہے ہیں
1909	2.8	ایک آدمی ایک چھت سے دوسری چھت پر چھلانگ لگاتا ہے ۔	ایک نوجوان ایک بالکونی سے دوسری بالکونی میں چھلانگ لگاتا ہے ۔
1910	3.4	ایک بچہ ریت کے ساتھ سرخ ویگن میں بیٹھے دوسرے بچے کو کھینچتا ہے ۔	ایک نوجوان لڑکا ریڈیو فلائر ویگن میں بے وقوف ٹوپی پہنے ہوئے دوسرے لڑکے کو کھینچتا ہے ۔
1911	2.4	دن کے وقت ایک الو اپنے پروں کو اوپر اور پھیلا ہوا رکھے ہوئے ہے ۔	ایک پرندہ اڑتے ہوئے اپنے پر پھیلائے ہوئے ہے ۔
1912	0	نیلے رنگ کی ٹوپی میں ایک آدمی ایک درخت کے نیچے سٹول پر بیٹھا ہے ۔	قریب ہی ایک گیند کے ساتھ ساحل سمندر پر کھڑا ایک کتا ۔
1913	4.4	ایک عورت مائیکروفون میں گا رہی ہے جبکہ اس کے پاس ایک لڑکا گٹار بجا رہا ہے ۔	ایک عورت پس منظر میں گٹار پلیئر کے ساتھ مائیکروفون میں گاتی ہے ۔
1914	2.8	تین بھیڑیں گھاس کے میدان میں چرتی ہیں اور ان کے پیچھے ایک کتا چل رہا ہے ۔	گھاس میں بکریوں کا ایک چھوٹا گروہ جس کے بیک گراؤڈ میں سیاہ اور سفید کتا ہے ۔
1915	4.4	ایک سائیکل سوار دو پتھروں کے درمیان اپنی موٹر سائیکل چھلانگ لگا رہا ہے ۔	ایک آدمی اپنی سائیکل کو دو پتھروں کے درمیان ہوا میں چھلانگ لگاتا ہے ۔
1916	1.8	پس منظر میں پیلے رنگ کی عمارت کے ساتھ گلابی ٹوپی پہنے ایک نوجوان لڑکی ۔	گلابی لباس میں ایک نوجوان لڑکی جس کے ہاتھ میں کچھ ہے ۔
1917	4	گلابی لباس میں ایک لڑکی سفید پکیٹ باڑ کے ساتھ اپنی موٹر سائیکل چلاتی ہے ۔	سرخ لباس میں ایک لڑکی سفید باڑ کے سامنے اپنی موٹر سائیکل چلاتی ہے ۔
1918	1.4	کچھ پودوں کے پیچھے ایک بھورا بالوں والا جانور کھڑا ہے ۔	جنگل میں کھڑا ایک کتا ہانپ رہا ہے ۔
1919	1	سرخ قمیض میں ایک بچہ ساحل سمندر کی لہر پر چھڑکنے کے لیے سیاہ ویک بورڈ کا استعمال کر رہا ہے ۔	کشتی میں سوار ایک آدمی نیلے پانی میں چپو چلا رہا ہے ۔
1920	3.4	بھورا اور سفید کتا میدان میں دوڑ رہا ہے ۔	بھوری اور سفید کتے میدان میں دوڑتے ہیں ۔
1921	0.8	دو نوعمر لڑکیاں - ایک مسکرا رہی ہے ۔	بچوں کے جھولے پر ایک چھوٹی سی لڑکی جھول رہی ہے ۔
1922	0.2	دو پرندے گھاس میں تعامل کر رہے ہیں	دو کتے باہر ایک دوسرے کے ساتھ کھیل رہے ہیں ۔
1923	3.4	دو کوہ پیما برفیلے پہاڑ کی چوٹی پر کھڑے ہیں ۔	دو کوہ پیما ایک پہاڑ کی چوٹی پر کھڑے ہو کر ارد گرد دیکھ رہے ہیں ۔
1924	4.8	سرخ پھولوں کے کھیت میں دو بچے ۔	دو بچے سرخ پھولوں کے میدان میں کھیل رہے ہیں ۔
1925	4	ایک نوجوان پتھر سے جھیل میں چھلانگ لگاتا ہے ۔	سرخ تیراکی کی چھڑیوں میں ملبوس ایک نوجوان نے ایک بڑی چٹان سے پانی میں چھلانگ لگا دی ۔
1926	3.6	ایک چھوٹا کالا کتا گھاس میں ہے ۔	ایک کالا کتا گھاس میں دوڑ رہا ہے ۔
1927	1	کیمونو میں ملبوس ایک خاتون کیمرے کی طرف دیکھ رہی ہے ۔	سیاہ لباس میں ملبوس دو لڑکیاں ایک کمرے میں بیٹھی کیمرے کی طرف معنی خیز انداز میں پوز دے رہی ہیں -
1928	0	لوگوں کا ایک گروہ گرم ہوا کا غبارہ چلا رہا ہے ۔	بھوری اور سفید گھوڑوں پر سوار لوگوں کا ایک بڑا گروہ ۔
1929	0	بچے تلواروں سے لڑتے ہیں ۔	ایک بچہ اور والدین گھوڑے کو پالتے ہیں ۔
1930	1.4	ایک آدمی سمندر میں ونڈ سرفنگ کر رہا ہے ۔	ایک کتا سمندر میں دوڑ رہا ہے ۔
1931	1.4	مٹی کے راستے پر تین کتے دوڑ رہے ہیں	مٹی کے راستے پر گاڑیاں دوڑ رہی ہیں
1932	1.2	دو لوگ ہاتھ پکڑ کر میدان میں چل رہے ہیں ۔	دو آدمی ایک کار کی دیوار کے پاس سے گزر رہے ہیں ۔
1933	1.6	ایک بھورا کتا فریسبی کا پیچھا کرتا ہے	ایک بھورا کتا گھاس پر بیٹھا ہوا ہے ۔
1934	5	سرخ لباس میں خاتون فٹ پاتھ پر کھڑی ہے ۔	سرخ لباس میں ملبوس ایک عورت فٹ پاتھ پر کھڑی ہے ۔
1935	2.8	ایک کتا پتوں سے بھرے پچھواڑے سے گزر رہا ہے ۔	تین کتے ایک کھیت میں دوڑتے ہیں ۔
1936	5	گھاس میں کھیل رہے دو کتے	دو کتے گھاس میں کھیل رہے ہیں
1937	1	دو سیاہ اور سفید کتے باہر ایک ساتھ کھیل رہے ہیں ۔	دو بچے اور ایک کالا کتا برف میں کھیل رہے ہیں ۔
1938	1	تین کتے پانی میں دوڑ رہے ہیں ۔	ایک کالا کتا پانی میں دوڑ رہا ہے ۔
1939	1.2	ایک عورت اینٹوں کی دیوار کے سامنے اکیلی بیٹھی ہے	ایک عورت سرخ بیگ لے کر چل رہی ہے ۔
1940	2.6	ایک بھورا کتا اپنے منہ میں چھڑی اٹھا رہا ہے ۔	ایک کتا اپنے منہ میں چھڑی لے کر تیراکی کر رہا ہے ۔
1941	0.8	ایک نوجوان عورت کھانے کے وقت اپنی پلیٹ کے اوپر جھکتی ہے ۔	پینٹ یا کیچڑ کے علاوہ ٹاپ لیس نوجوان عورت ۔
1942	3.8	ایک شخص برفیلی پہاڑی پر چڑھتا ہے جبکہ اس کا کتا اس کا پیچھا کرتا ہے ۔	ایک شخص برفیلی پہاڑی پر چڑھتا ہے جبکہ ایک کالا کتا اس کا پیچھا کرتا ہے ۔
1943	2	ایک بھورا کتا ساحل پر بیٹھا ہے ۔	ساحل پر دوڑتا ہوا کتا
1944	5	سکوبا غوطہ خور پانی کے اندر ہے ۔	سکوبا غوطہ خور پانی کے اندر ہے ۔
1945	1.8	آدمی مٹی کی پہاڑی سے نیچے سائیکل چلا رہا ہے ۔	ایک ماہر سائیکل سوار ہینڈ ریل پر گرائنڈ کرتا ہوا نیچے جا رہا ہے ۔
1946	2.6	ایک بڑا سرمئی کتا گہری برف میں کھیل رہا ہے ۔	چار کتے برف میں کھیل رہے ہیں ۔
1947	0.8	ایک آدمی سمندر کے کنارے ساحل پر اپنی سائیکل چلا رہا ہے ۔	ایک آدمی اپنی گائے کو سڑک کے کنارے سے نیچے چلا رہا ہے ۔
1948	1	کار میں ایک کتا ۔	ایک کتا موپ کو کاٹ رہا ہے ۔
1949	1.2	فلاپی کانوں والا کتا جنگل میں کیمرے کی طرف چل رہا ہے ۔	اپنے عکس کے سامنے ایک بچہ کیمرے کی طرف مڑ کر مسکرا رہا ہے ۔
1950	2.4	ایک بھورا کتا خود سے پانی ہلا کر ہر جگہ پانی چھڑک رہا ہے ۔	ایک سفید کتا دریا کے کنارے کھڑا ہے اور اپنے آپ کو خشک کر رہا ہے ۔
1951	1.8	ساحل پر ایک سیاہ اور سفید کتا دوڑ رہا ہے ۔	کالا اور بھورا کتا برف میں دوڑ رہا ہے ۔
1952	3.4	مشرق وسطی کے بہت سے لوگ نیلے رنگ کے ٹرک کے پیچھے بیٹھے ہیں ۔	لوگوں کا ایک گروہ ٹرک کے پچھلے حصے میں سوار ہے ۔
1953	4.2	دو اسکی کھمبوں والا شخص برفیلی پہاڑی پر اسکیئنگ کر رہا ہے ۔	ایک شخص برفیلی پہاڑی پر اسکیئنگ کر رہا ہے ۔
1954	4.6	ایک عورت ریستوراں میں مچھلی کھا رہی ہے ۔	ایک عورت ریستوراں میں بڑی مچھلی کھا رہی ہے ۔
1955	2.2	ایک بچہ اور دو کتے پانی میں کھیل رہے ہیں ۔	سرخ اور نیلے رنگ کے فلوٹی میں ایک بچہ پانی کی طرف نیچے دیکھ رہا ہے ۔
1956	2.2	ایک اسکیٹ بورڈر پتھر کی دیوار پر چال چلا رہا ہے ۔	ایک اسکیٹ بورڈر ڈھلوان پر سوار ہے ۔
1957	4.6	لوگ ایک ایسکلیٹر پر کھڑے ہو کر اوپر جا رہے ہیں ۔	لوگ ایسکلیٹر پر سوار ہوتے ہیں ۔
1958	4.2	ایک خاتون اپنے کتے کو چستی کے کورس کے ذریعے چلا رہی ہے ۔	ٹرینر اپنے کتے کو گرین پائپ سے ٹریننگ کورس کے ذریعے چلاتا ہے
1959	1.4	سفید اور بھورا کتا اپنے کان ہلا رہا ہے ۔	بھورا کتا ریت کے پار دوڑ رہا ہے ۔
1960	0.2	کچھ بچے ہاتھ اٹھا کر تالیاں بجا رہے ہیں ۔	تین بچے ریت میں فٹ بال کھیل رہے ہیں ۔
1961	0	ایک آدمی ایک بڑا بلبلہ اڑا رہا ہے ۔	ایک آدمی ایک بڑے کالے گھوڑے پر چل رہا ہے ۔
1962	3.8	دو لوگ پانی کے قریب ایک گودی پر بیٹھے ہیں ۔	دو لوگ ایک گودی کے سرے پر خاموش پانی کے بیچ میں بیٹھے ہیں ۔
1963	4.6	ہاکی کا گول کیپر جال کے سامنے برف پر لیٹا ہوا ہے ۔	ایک ہاکی کھلاڑی گول کے سامنے برف پر لیٹا ہوا ہے ۔
1964	1.4	نیلی برف کی پتلون پہنے ہوئے ایک اسکیئر چھلانگ کے قریب ہوا میں اڑ رہا ہے ۔	ایک اسکیئر مووی کیمرے کے سامنے برف میں اپنے ہاتھوں پر کھڑا ہے ۔
1965	3.4	بھورا کتا گھاس کے راستے پر دوڑ رہا ہے ۔	ایک بھورا کتا ایک گھاس کی پٹی کے ساتھ دوڑ رہا ہے جسے تاروں سے تقسیم کیا گیا ہے ۔
1966	0	لڑکی نے نیلے رنگ کی دھاری والی قمیض اور رولر بلیڈ پہنے ہوئے ہیں ۔	سیاہ اور سفید قمیض پہنے ایک آدمی ایک کتے کی پیٹھ پر چھلانگ لگا رہا ہے -
1967	0	سیاہ لباس میں ٹیٹو لگوانے والا آدمی سفید گٹار بجا رہا ہے اور گا رہا ہے ۔	سیاہ اور سفید کوٹ اور کانوں میں ملبوس ایک عورت ۔
1968	1.4	ساحل کے ساتھ ساتھ دوڑتا ہوا ایک کتا ۔	لڑکا اور لڑکی ساحل سمندر پر دوڑ رہے ہیں ۔
1969	4.6	باہر بینچ پر بیٹھے ایک نوجوان اور عورت بوسہ لے رہے ہیں ۔	بینچ پر بیٹھے مرد اور عورت بوسہ لے رہے ہیں ۔
1970	3.2	ایک بھورا کتا اپنے منہ میں سبز پٹا پکڑنے کے لیے چھلانگ لگا رہا ہے ۔	ایک سرمئی کتا سبز پٹے کو کاٹنے کے لیے چھلانگ لگاتا ہے ۔
1971	3.2	ایک کالا کتا گھاس میں دوڑ رہا ہے ۔	ایک کالا اور بھورا کتا گھاس میں دوڑ رہا ہے ۔
1972	0.5	ایک عورت فٹ پاتھ پر بیٹھی ہوئی ہے اور اس کے کان میں سیل فون ہے ۔	ایک عورت اپنی سائیکل چلا رہی ہے ۔
1973	1.2	تین کتے گھاس کے میدان میں کھیل رہے ہیں ۔	کچھ بچے میدان میں کھیلتے ہیں ۔
1974	3	ایک نوجوان لڑکا سرخ گیند کے گڑھے میں کھیل رہا ہے ۔	ایک ہنسنے والا لڑکا نیلی گیندوں کے گڑھے پر پڑا ہے ۔
1975	4.4	لہر پر ایک سرفر ۔	ایک سرفر لہر پر سوار ہے ۔
1976	2.4	اسکیٹ بورڈر ریمپ کے اوپری حصے تک پہنچ جاتا ہے ۔	اسکیٹ بورڈر اسکیٹر پارک میں پائپ کی دیوار پر سوار ہوتا ہے ۔
1977	1	دو آدمی دوڑتے ہوئے مقابلے میں ۔	دوڑ میں کتے ۔
1978	5	دو بچے جنگل میں ایک راستے پر چل رہے ہیں ۔	دو بچے جنگل میں ایک راستے پر چل رہے ہیں ۔
1979	3.4	ایک بھورا اور سفید کتا گھاس پر دوڑ رہا ہے ۔	ٹین اور کالا کتا گھاس کے پار دوڑ رہا ہے ۔
1980	4.4	دو کتے گھاس پر شانہ بشانہ دوڑتے ہیں ۔	دو کتے گھاس پر دوڑ رہے ہیں ۔
1981	5	دو کتے ریڈ فائر ہائیڈرانٹ پر پیشاب کر رہے ہیں ۔	دو کتے ریڈ فائر ہائیڈرانٹ پر پیشاب کر رہے ہیں ۔
1982	0.4	سیاہ پوشاک میں ایک رگبی کھلاڑی ہلکے رنگ کی رگبی گیند اٹھا رہا ہے جس کا بازو پھیلا ہوا ہے ۔	ایک بھورا کتا اپنے منہ میں گیند لے جاتے ہوئے پانی میں چھڑکتا ہے ۔
1983	1.2	دو لوگ کچھ پانی سے گزر رہے ہیں ۔	دو لڑکیاں اینٹوں کی عمارت کے سامنے ایک درخت کے پاس چل رہی ہیں ۔
1984	4	ایک کتا پانی میں چھڑک رہا ہے ۔	ایک کتا گندے پانی میں چھڑکتا ہے ۔
1985	1	لوگوں کا ایک گروہ ایک بڑے شہر کے فٹ پاتھ سے گزر رہا ہے ۔	لوگوں کا ایک گروہ ٹرک کے پچھلے حصے میں سوار ہے ۔
1986	1	کتا گھاس کے اوپر ہوا میں ہے ۔	کتا نیلے رنگ کی چادر کے ساتھ بستر پر لیٹا ہوا ہے ۔
1987	0	ایک کالا کتا کچھ پانی سے گزر رہا ہے ۔	فٹ بال کی وردی میں ایک آدمی کھیل کے دوران فٹ بال کے ساتھ دوڑ رہا ہے ۔
1988	2	لڑکی سب وے میں کسی چیز کا انتظار کر رہی ہے ۔	ایک لڑکی ہلکی روشنی والے علاقے میں کھڑی ہے ۔
1989	0.6	آدمی پارک میں ایک چھوٹی سی لڑکی کے ساتھ بیٹھا ہے ۔	آدمی کچے کتے کے ساتھ کھیل رہا ہے ۔
